tweet_id,replies
1.03925638337026E+018,[]
1.03925640021035E+018,[]
1.03925640867451E+018,[]
1.03925641713442E+018,[]
1.03925656043282E+018,[]
1.03925670128169E+018,[]
1.03925670493493E+018,[]
1.03925690357297E+018,[]
1.03925696829527E+018,[]
1.03925704682947E+018,[]
1.03925720574724E+018,[]
1.03925720924972E+018,[]
1.0392573234186E+018,[]
1.03925734035107E+018,[]
1.03925737543637E+018,[]
1.03925742008059E+018,[]
1.03925752449773E+018,[]
1.03925763789062E+018,[]
1.03925763818854E+018,[]
1.0392576699099E+018,[]
1.03925791521818E+018,[1039467070642180101]
1.039258429725E+018,[]
1.03925864987987E+018,[]
1.03925872490333E+018,[]
1.03925915296566E+018,[]
1.03925917408381E+018,[]
1.03925973472404E+018,[]
1.03925985135498E+018,[]
1.03925986546047E+018,[]
1.03926001707597E+018,[]
1.03926008418073E+018,[]
1.03926023499964E+018,[]
1.03926024237316E+018,[]
1.03926032703519E+018,[]
1.03926034804866E+018,[]
1.03926036384447E+018,[]
1.03926059405286E+018,[]
1.03926061378303E+018,[]
1.03926062582068E+018,[]
1.03926072226872E+018,[]
1.03926081238327E+018,[]
1.03926084672611E+018,[]
1.03926085432631E+018,[]
1.03926098886285E+018,[]
1.03926107834409E+018,[]
1.03926126738557E+018,[]
1.03926140328508E+018,[]
1.03926155236343E+018,[]
1.03926159103069E+018,[]
1.03926163914344E+018,[]
1.03926173691274E+018,[]
1.03926175182775E+018,[]
1.03926176283353E+018,[]
1.03926179902624E+018,[]
1.03926180242361E+018,[]
1.03926190799845E+018,[]
1.03926195002532E+018,[]
1.03926195223579E+018,[]
1.03926196275923E+018,[]
1.03926202072875E+018,[]
1.03926209545442E+018,[]
1.03926214139463E+018,[]
1.03926214432645E+018,[]
1.03926216855702E+018,[]
1.03926219695659E+018,[]
1.03926222351498E+018,[]
1.03926224054798E+018,[]
1.03926230904521E+018,[]
1.0392624974827E+018,[]
1.03926256742273E+018,[]
1.03926286490375E+018,[]
1.0392628966796E+018,[]
1.03926309593858E+018,[]
1.03926328838566E+018,[]
1.03926342152562E+018,[]
1.03926354491786E+018,[]
1.0392636535335E+018,[]
1.03926368269643E+018,[]
1.0392636937232E+018,[]
1.03926375757321E+018,[]
1.03926386913331E+018,[]
1.03926401238961E+018,[]
1.03926402321533E+018,[]
1.0392641682963E+018,[]
1.03926420872933E+018,[]
1.03926428750659E+018,[]
1.03926451301754E+018,[]
1.03926479138111E+018,[]
1.03926486997399E+018,[]
1.03926488654982E+018,[]
1.03926495273169E+018,[]
1.03926552704528E+018,[]
1.03926557098893E+018,[]
1.03926572035656E+018,[]
1.03926576542434E+018,[]
1.03926587342749E+018,[]
1.03926587843561E+018,[]
1.03926593616588E+018,[]
1.03926600585012E+018,[]
1.03926604570871E+018,[]
1.03926607680522E+018,[]
1.03926657734512E+018,[]
1.03926681658805E+018,[]
1.03926694206917E+018,[]
1.03926695752518E+018,[]
1.03926698212477E+018,[]
1.03926703249829E+018,[]
1.03926710248039E+018,[]
1.0392671218914E+018,[]
1.0392672075812E+018,[]
1.03926723512103E+018,[]
1.03926728796067E+018,[]
1.03926733915219E+018,[]
1.03926754213145E+018,[]
1.0392676260973E+018,[]
1.03926764802506E+018,[]
1.0392676606919E+018,[]
1.03926783650455E+018,[]
1.0392678661708E+018,[]
1.03926809040254E+018,[]
1.03926810521263E+018,[]
1.03926814511723E+018,[]
1.03926822215403E+018,[]
1.03926832170981E+018,[]
1.03926851143092E+018,[]
1.03926857593093E+018,[]
1.03926876771548E+018,[]
1.03926879101478E+018,[]
1.0392688233446E+018,[]
1.03926890361518E+018,[]
1.03926897079109E+018,[]
1.03926903790835E+018,[]
1.03926917746969E+018,[]
1.03926924034223E+018,[]
1.03926959135089E+018,[]
1.03926973214939E+018,[]
1.0392697475299E+018,[]
1.03926981239083E+018,[]
1.03927007694231E+018,[]
1.03927022256861E+018,[]
1.03927024414829E+018,[]
1.03927032030421E+018,[]
1.03927034584321E+018,[]
1.03927052610597E+018,[]
1.03927082440507E+018,[]
1.03927091574858E+018,[]
1.03927116206316E+018,[]
1.03927124427163E+018,[]
1.03927153348567E+018,[]
1.03927158489113E+018,[]
1.03927160344251E+018,[]
1.03927179778539E+018,[]
1.039271841809E+018,[]
1.03927188053082E+018,[]
1.03927223326322E+018,[]
1.03927227016484E+018,[]
1.03927230626521E+018,[]
1.03927234744075E+018,[]
1.03927234947912E+018,[]
1.03927245212638E+018,[]
1.0392724907056E+018,[]
1.03927256835888E+018,[]
1.03927257974641E+018,[]
1.03927290610509E+018,[]
1.03927296845773E+018,[]
1.03927299423599E+018,[]
1.0392731590887E+018,[]
1.03927328810978E+018,[]
1.03927334979133E+018,[]
1.0392734062215E+018,[]
1.03927362335221E+018,[]
1.03927365303111E+018,[]
1.039273696417E+018,[]
1.03927381462927E+018,[]
1.03927395342297E+018,[]
1.03927452812651E+018,[]
1.03927456271694E+018,[]
1.03927474079864E+018,[]
1.03927481960542E+018,[]
1.03927489294702E+018,[]
1.03927490006061E+018,[]
1.03927496513104E+018,[]
1.03927497411524E+018,[]
1.03927531557347E+018,[]
1.03927534728668E+018,[]
1.03927535713071E+018,[]
1.0392753608846E+018,[]
1.03927545328087E+018,[]
1.03927570304754E+018,[]
1.03927598654455E+018,[]
1.03927614213662E+018,[]
1.03927639154247E+018,[]
1.03927647995428E+018,[]
1.03927651486764E+018,[]
1.03927695354986E+018,[]
1.03927705168404E+018,[]
1.03927717571374E+018,[]
1.03927729031059E+018,[]
1.03927732310159E+018,[]
1.03927804265966E+018,[]
1.03927810986493E+018,[]
1.03927836367492E+018,[]
1.03927858098159E+018,[]
1.03927899279117E+018,[]
1.03927943994172E+018,[]
1.03927954489573E+018,[]
1.03927961177793E+018,[]
1.03927969135248E+018,[]
1.03927982111168E+018,[]
1.03927989433996E+018,[]
1.03927995960334E+018,[1039281972940435456]
1.03927996889797E+018,[]
1.03928003550772E+018,[]
1.03928016140394E+018,[]
1.03928032176056E+018,[]
1.03928040591083E+018,[]
1.03928048851764E+018,[]
1.03928058840507E+018,[]
1.03928072595719E+018,[]
1.03928075239815E+018,[]
1.03928075753176E+018,[]
1.03928077912426E+018,[]
1.03928079208883E+018,[]
1.03928087178061E+018,[]
1.03928092939341E+018,[]
1.03928165260047E+018,[]
1.0392816726033E+018,[]
1.03928172640357E+018,[]
1.03928187629545E+018,[]
1.03928210582875E+018,[]
1.03928222071494E+018,[]
1.03928222931325E+018,[]
1.03928233261891E+018,[]
1.03928237458298E+018,[]
1.03928239040802E+018,[]
1.03928262638383E+018,[]
1.03928276266096E+018,[]
1.03928277916128E+018,[]
1.03928291911682E+018,[]
1.03928293797441E+018,[]
1.03928312808128E+018,[]
1.03928319752633E+018,[]
1.03928352742098E+018,[]
1.0392835454732E+018,[]
1.03928356048868E+018,[]
1.03928367079482E+018,[]
1.03928397520067E+018,[]
1.0392842372859E+018,[]
1.03928425445306E+018,[]
1.03928427500113E+018,[]
1.03928433611617E+018,[]
1.03928434730234E+018,[]
1.03928465559649E+018,[]
1.03928470218675E+018,[]
1.03928472025586E+018,[]
1.03928485827777E+018,[]
1.03928518447718E+018,[]
1.0392854060791E+018,[]
1.03928541441717E+018,[]
1.03928551699329E+018,[]
1.0392855566546E+018,[1039286288426393600]
1.03928558449216E+018,[]
1.03928578969847E+018,[]
1.03928593815586E+018,[]
1.0392861681002E+018,[]
1.03928633761284E+018,[]
1.03928702974026E+018,[]
1.03928716279622E+018,[]
1.03928716826139E+018,[]
1.03928734717778E+018,[]
1.03928746294902E+018,[]
1.03928760354621E+018,[]
1.03928767904775E+018,[]
1.03928778710161E+018,[]
1.03928784503326E+018,[]
1.03928785309898E+018,[]
1.03928787574401E+018,[]
1.03928792626842E+018,[]
1.03928816317128E+018,[]
1.03928824329488E+018,[]
1.03928829063199E+018,[]
1.03928831194744E+018,[]
1.03928855797692E+018,[]
