tweet_id,Count
[1039250927931207682],17
[1039250930838003712],25
[1039250963184451584],18
[1039251061041704961],27
[1039251066951356416],23
[1039251116314091520],39
[1039251164334837762],23
[1039251292504219648],21
[1039251335475093508],23
[1039251403716407298],28
[1039251551049658368],19
[1039251590719397888],18
[1039251666623705089],17
[1039251680150269952],22
[1039251821582340097],18
[1039251864263553024],26
[1039251897616543744],60
[1039251984665255936],18
[1039252003749289989],31
[1039252051845435392],13
[1039252187925295105],30
[1039252232158543872],31
[1039252359715729409],18
[1039252436723159041],80
[1039252532537614336],24
[1039252565450469381],19
[1039252586430427136],26
[1039252741472759815],48
[1039252792454651904],21
[1039252815103909888],33
[1039252861086035969],20
[1039253123292835841],27
[1039253231099158529],21
[1039253244537708544],20
[1039253332429336576],28
[1039253443268018184],36
[1039253471931772928],32
[1039253572628692992],23
[1039253686839652352],27
[1039253783254106112],22
[1039253837415178245],12
[1039253886471614464],31
[1039253991249465344],25
[1039254049147834368],29
[1039254050104070145],18
[1039254161450303488],33
[1039254254668730368],20
[1039254288806100992],26
[1039254343696826368],16
[1039254424605155329],22
[1039254439922724864],24
[1039254448739168256],20
[1039254541865238528],29
[1039254715643645952],24
[1039254736975872001],44
[1039254759281229831],16
[1039254855402106881],23
[1039254905834299393],65
[1039254919163785218],28
[1039254952600891393],22
[1039255131877978113],33
[1039255199184027648],32
[1039255218045825024],36
[1039255418579513344],24
[1039255435814084608],22
[1039255589593931776],21
[1039255671953403905],30
[1039255775334543361],27
[1039255830481264642],32
[1039255864279031809],25
[1039255885120516102],34
[1039255888824086533],19
[1039255961016442880],20
[1039256185495408640],23
[1039256194781773824],26
[1039256291573747713],28
[1039256366093750272],41
[1039256383370264576],31
[1039256400210345986],30
[1039256408674512896],17
[1039256417134419968],16
[1039256560432820224],32
[1039256701281689600],32
[1039256704934928388],49
[1039256903572967424],27
[1039256923147849729],26
[1039256968295268352],31
[1039257046829465602],19
[1039257205747240960],21
[1039257209249718272],27
[1039257269446291462],21
[1039257297266995201],32
[1039257323418595328],22
[1039257340351074309],35
[1039257375436365824],26
